Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
24, 2, true, 29, 1, 3, 2.06897, 11, 25, false, 4, 8e-06, 1.1e-05, 0.000161, 0.000198, .004598100, Satellite/2obs-1sat-2mod
17, 2, true, 21, 1, 4, 2.42857, 9, 18, false, 3, 5e-06, 9e-06, 0.000177, 0.000218, .004357952, Satellite/sat-C
36, 1, false, 45, 1, 3, 1.95556, 16, 32, false, 4, 1e-05, 1.8e-05, 0.000232, 0.000277, .005418095, Satellite/sat-B
63, 3, true, 83, 1, 4, 2.16867, 32, 71, false, 4, 2.2e-05, 4.9e-05, 0.000484, 0.000594, .006807133, Satellite/3obs-3sat-3mod
66, 3, true, 90, 1, 4, 2.17778, 35, 78, false, 4, 2.3e-05, 5.1e-05, 0.000538, 0.000653, .006543927, Satellite/3obs-3sat-2mod
34, 3, true, 46, 1, 3, 2.15217, 19, 40, false, 4, 1e-05, 2e-05, 0.00027, 0.000331, .005332122, Satellite/3obs-1sat-3mod
131, 8, true, 213, 1, 4, 2.74648, 97, 196, false, 3, 5.3e-05, 0.000205, 0.002062, 0.002522, .009031322, Satellite/8obs-3sat-4mod
31, 2, true, 41, 1, 4, 2.4878, 17, 35, false, 3, 1.4e-05, 2.3e-05, 0.000343, 0.000421, .005282849, Satellite/2obs-2sat-1mod
10, 1, false, 10, 1, 4, 2.1, 3, 7, false, 3, 3e-06, 4e-06, 8.2e-05, 0.0001, .004208680, Satellite/sat-A
1419, 5, true, 1146, 1, 5, 2.45986, 737, 1020, false, 10, 0.002679, 0.005496, 0.007378, 0.015793, .047623298, Barman-BDI/pfile12
32612, 40, true, 26972, 1, 5, 2.52202, 19237, 24954, false, 10, 0.586934, 2.07111, 0.285012, 3.05508, 1.199209588, Barman-BDI/pfile19
18408, 30, true, 15184, 1, 5, 2.51772, 10722, 14002, false, 10, 0.218747, 0.675973, 0.131632, 1.0643, .612169663, Barman-BDI/pfile18
1125, 3, true, 910, 1, 5, 2.44945, 585, 808, false, 10, 0.002061, 0.003699, 0.006544, 0.012495, .044073879, Barman-BDI/pfile10
165, 1, false, 128, 1, 5, 2.30469, 64, 101, false, 10, 0.000114, 0.000163, 0.000948, 0.001262, .015524365, Barman-BDI/pfile01
300, 2, true, 236, 1, 5, 2.37712, 130, 198, false, 10, 0.000264, 0.000439, 0.001794, 0.002561, .018000969, Barman-BDI/pfile02
10434, 20, true, 8586, 1, 5, 2.51211, 6002, 7890, false, 10, 0.08899, 0.211611, 0.061965, 0.370498, .367919160, Barman-BDI/pfile17
649, 3, true, 518, 1, 5, 2.42278, 313, 450, false, 10, 0.000832, 0.001426, 0.003745, 0.006119, .032854422, Barman-BDI/pfile08
2597, 5, true, 2117, 1, 5, 2.47473, 1417, 1909, false, 10, 0.007343, 0.017356, 0.014099, 0.039227, .077519356, Barman-BDI/pfile14
3060, 14, true, 2480, 1, 5, 2.49315, 1636, 2238, false, 10, 0.011708, 0.027198, 0.020303, 0.06146, .086603412, Barman-BDI/pfile16
393, 3, true, 309, 1, 5, 2.40129, 173, 262, false, 10, 0.000404, 0.000708, 0.00247, 0.003743, .021922750, Barman-BDI/pfile03
3250, 10, true, 2648, 1, 5, 2.49018, 1777, 2398, false, 10, 0.012509, 0.026431, 0.019881, 0.059787, .090637052, Barman-BDI/pfile15
1484, 6, true, 1201, 1, 5, 2.47294, 779, 1075, false, 10, 0.003089, 0.005763, 0.00836, 0.017506, .047781063, Barman-BDI/pfile11
580, 4, true, 460, 1, 5, 2.43043, 271, 398, false, 10, 0.000718, 0.001284, 0.003844, 0.005988, .025563594, Barman-BDI/pfile06
559, 3, true, 445, 1, 5, 2.42022, 265, 385, false, 10, 0.000783, 0.001613, 0.003409, 0.005924, .024914989, Barman-BDI/pfile05
782, 4, true, 626, 1, 5, 2.44249, 385, 549, false, 10, 0.00138, 0.002472, 0.005068, 0.009117, .034229350, Barman-BDI/pfile09
